input_row_key,Applications_of_AI_id,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,company_name,company_name_source,company_legal_names,company_commercial_names,main_country_code,main_country,country_source,main_region,main_postcode,main_street,main_city,city_source,primary_email,email_source,primary_phone,phone_source,short_description,description_source,year_founded,year_founded_source,employee_count,employee_count_source,generated_description,generated_business_tags,long_description,business_tags,main_business_category,main_industry,main_sector,company_type,revenue,website_url,website_domain,website_tld,website_language_code,linkedin_url,facebook_url,twitter_url,instagram_url,youtube_url,naics_2022_primary_code,naics_2022_primary_label,naics_2022_secondary_codes,naics_2022_secondary_labels,sic_codes,sic_labels,nace_rev2_codes,nace_rev2_labels,isic_v4_codes,isic_v4_labels,country_validation_verdict,country_validation_confidence,country_validation_method,country_validation_action,source_enrichment_file
0,26e22210-93e5-11eb-b997-8dd98d09cf25,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,New Millennium Network,original,New Millennium Network Private Limited | MNET Services Private Limited,New Millennium Network,PK,Pakistan,validation,Sindh,74400,,Karachi,original,support@mnet.com.pk,final,+92 3401111215,final,"Incorporated in 2001, MNET is the first company in Pakistan to provide a secure electronic inter-bank connectivity platform for online financial transactions.",original,2001,original,23,original,"MNET, incorporated in 2001, is a Pakistani company that specializes in providing a secure electronic inter-bank connectivity platform for online financial transactions. As the pioneer of electronic financial transaction processing in Pakistan, MNET focuses on industry best practices and technology based on international standards. The company offers value-added services such as bill payments, mobile top-ups, and funds transfer, as well as a managed services portfolio for the financial services sector, including card personalization and management. MNET provides a ""One Stop Shop"" for product/service development, deployment, and support, with a large network of ATMs and POS devices. They have expertise in plastics hosting and ATM controller services, and their technology platforms are backed by industry leaders like IBM, Euronet, ACI, and Oracle. Mnet also has strong channel alliances with utility companies for bill payment.",Mobile Top-up Services | Website Development | Managed Services Portfolio | Online Transactions | ATM Controllers | Straight-through Electronic Financial Transaction Processing | Card Personalization Services | Product Development and Deployment Support | Value Added Services | Electronic Inter-bank Connectivity Platform | Website Development Services | Funds Transfer Service | Bill Payment Services | Technology Services,"Incorporated in 2001, MNET is the first company in Pakistan to provide a secure electronic inter-bank connectivity platform for online financial transactions. As the pioneer of straight-through electronic financial transaction processing in Pakistan, the company is heavily focused on industry best practices as well as technology based on international standards. Over the years, MNET has broadened its focus to offer value added services (VAS) like bill payments, mobile top-ups, and funds transfer. MNET also offers managed services portfolio to the financial services sector including services such as card personalization and management. Following is the set of key products and services offered:* A ""One Stop Shop"" – Product / Service Development, Deployment, and Support under one roof * A significantly large network of ATMs and POS (Point of Sale) devices * Deep expertise in plastics (debit/credit) hosting as well as ATM Controller Services * Technology platforms backed by industry leaders like IBM, Euronet, ACI, and Oracle * Strong channel alliances with the largest number of utility companies for bill payment",Transfer Funds | Shop & Products | Managed Servers | Managed Services | Bill Payer | Financial Services Sector | Controller Services | Information Technology Services | Value Added Services,Cable & Internet Providers,Telecommunication Services,IT&C Services,Private,311793,https://www.mnet.com.pk/,mnet.com.pk,com.pk,en,http://www.linkedin.com/company/mnet-services-private-limited,,,,,517810,All Other Telecommunications,,,7375 | 4899,"Information Retrieval Services (Internet service providers and Internet access providers) | Communications Services, NEC (except ship to shore broadcasting, satellite communications, pay telephone concession operators)",61.9,Other telecommunications activities,6190,Other telecommunications activities,CONFIRMED,0.75,tld,KEEP,data_enriched.csv
0,01004641-1dd8-11ef-9268-316fc8e174dd,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,Private Helipad Ali Villa,original,,Private Helipad Ali Villa,PK,Pakistan,original,Sindh,74400,,Karachi,original,,missing,,missing,,missing,,missing,,missing,"The Private Helipad Ali Villa is a heliport located in Karachi, Sindh, Pakistan.",Air Transportation Services | Heliport Services,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_data,0.0,,NO_ACTION,data_enriched.csv
0,8266efc1-13e7-11ec-aa14-7bf90e1e10f1,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,24seven Research Network,original,,24seven Research Network,IN,India,validation,Haryana,121001,Gurunanak Gali No. 3,Faridabad,original,info@24sevenresearchnetwork.com,original,9.19971E+11,original,We are the fastest growing market research company globally and aspire to be most reliable research and consulting partner for clients by addressing their most critical challenges to help them transform their enterprise for a sustainable growth in a highly competitive and dynamic research industry.,original,,missing,75,original,"24seven Research Network is a market research company based in Faridabad, Haryana. The company provides a comprehensive range of custom research solutions, including data collection, business and consumer research, online panel community management, survey programming, translations, data processing, and report writing. With a strong global presence, 24seven Research Network offers services across various industries such as retail, healthcare, manufacturing, e-commerce, financial services, transportation and logistics, hospitality, telecommunications, education, media, entertainment, and information technology. The company is known for its multi-lingual CATI center, extensive global coverage, and access to a large online panel of over 2 million members. They leverage proprietary databases, domain expertise, and a highly skilled team to deliver high-quality research projects and meet client expectations.",Market Research Services | Data Collection Services | Qualitative and Quantitative Research | Report Writing Services | Telephonic Surveys | Face To Face Interviews | Survey Programming | Translation Services | Highly Profiled Proprietary Databases | Online Panel and Community Services | Data Processing Services | In-Depth Interviews | Domain Experts | Lead Generation Services | End-to-end Customized Research | Global Network of Partners | Public Opinion Polling Services | Extensive and Diversified Experience of Resources | Ancillary Services,"With a team of highly skilled, qualified and multilingual analysts who can conduct qualitative and quantitative research in various languages using our secondary research tools, over-the- time developed databases and state-of -the art infrastructure, we can conduct all types of telephonic surveys such as –. We have strong background in both qualitative and quantitative survey delivery across variety of domains such as IT, Telecom, Healthcare, Financial, Supply Chain etc. We provide end to end custom business research solutions, leveraging our domain expertise and access to world's best databases. We serve as a one shop for all the Research requirements. We have advanced programming expertise on various platforms with hosting facility such as ConfirmIT, Kinesis, ASP.net etc. We provide high quality data processing services to our clients with expertise in tools such as SPSS, SAS, Quantum, Wincross, Microsoft Excel and Access. We also create hand deliver high quality tabs in various formats and take care of any charting and reporting requirements as well.",,Market Research & Opinion Polling,Marketing & Advertising Agencies,Advertising & Marketing,Private,518659,https://24sevenresearchnetwork.com/,24sevenresearchnetwork.com,com,en,https://www.linkedin.com/company/51633612%20%20,https://www.facebook.com/24seven-Research-Network-110274703981805%20/,https://twitter.com/Network24seven%20,,,541910,Marketing Research and Public Opinion Polling,,,8732,"Commercial Economic, Sociological, and Educational Research (market research and opinion research)",73.2,Market research and public opinion polling,7320,Market research and public opinion polling,PARTIAL_CONFIRMED,0.59,page_text_country,KEEP,data_enriched.csv
0,0183f0b2-93e5-11eb-be5a-4f810ab55f2e,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,EmerioSoft,original,,Emeriosoft | EMERIOSOFT Private L.T.D.,PK,Pakistan,validation,Sindh,75300,,Sindh,final,info@emeriosoft.com,final,+922134814455,final,EmerioSoft is dedicated Web solutions & Website Development & Designing Company which is aimed to give wings to your business by online presence in the most effective way.,final,2012,original,46,original,"Emeriosoft is a company based in Karachi, Pakistan, operating in the fields of software development and design.",Hr Support | Information Technology Counseling | Help System | Business Change Support | SEO Services | IT Arrangements | Site Upkeep Arrangment | 541511 - Custom Computer Programming Services | Custom Software Solution | Blogging Administrations | Mobile App Development Services | Software Development Company | IT Solutions | Software Design And Development | Change Support | Content Composition | Web and Software Organization | Software Development Services | E-commerce Services | Design Agency | Free Websites | Web-based Services | Operational Support | Web Composition and Improvement | Wordpress Hosting,"Brand Identity 'We are a Digital Agency that offers web solutions, Digital Marketing, Software Solutions. At Emeriosoft we run our business with one single focus in mind - you the customer. Our philosophy is very simple; Customer Care, Customer Satisfaction and Customer Support. Emeriosoft provides services ranging from Web-Design and Development to the SEO and online marketing. Emeriosoft aims to render value added services to Pakistan and international market. We care for our employees and collaborate with our clients to deliver value driven products and services. Our vision is"" ""to become leading IT outsourcer by delivering state-of-art solutions and excellent services to our Clients through out the world."" Learn more. Our aim is to provide suite of products and services, which enables clients to strengthen their internal control and improve their governance. Our mission is: ""to become trusted partners of our clients and helping them to enhance their business performance by providing them State -of-art software solution"" Learn more.",IT Management | Website Designing | Website Seo Services | E-Commerce Solutions | Digital Marketing | Website Design And Development | Website Development | Mobile Applications | Application Re Engineering | Web Design And Development,Web Development Agencies,Digital Agencies,Advertising & Marketing,Private,2400000,https://www.emeriosoft.com/,emeriosoft.com,com,en,https://www.linkedin.com/company/emeriosoft,https://www.facebook.com/emerioSoft/,https://twitter.com/emeriosoft,,,541511,Custom Computer Programming Services,,,7371,Computer Programming Services,62.01,Computer programming activities,6201,Computer programming activities,CONFIRMED,0.8,page_text_country,KEEP,data_enriched.csv
0,87bb7cde-93e4-11eb-8474-3bbe2d07207d,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,Asiatic Public Relations Network,original,Asiatic Public Relations Network Private Limited,Asiatic Public Relations Network | Asiatic Public Relations | APR,PK,Pakistan,validation,Sindh,75600,Nehr-e-Khayyam Street,Bahrain,final,info@apr.com.pk,original,9.22135E+11,original,"The leading communications and public relations agency in Pakistan, affiliated internationally with H+K Strategies, the world’s first PR agency, established in 1927.",final,1963,original,28,original,"Asiatic Public Relations Network, legally known as Asiatic Public Relations Network Private Limited, is a public relations agency based in Karachi, Pakistan. Founded in 1963 as a media unit within Asiatic Advertising, it became an independent PR company in 1992. APR is affiliated with Hill+Knowlton Strategies, the world's first public relations agency established in 1927, and is a wholly-owned subsidiary of the W.P.P. Group PLC. The company offers a comprehensive range of PR and communication services, including media services, issue and crisis management, digital PR, strategic writing, stakeholder engagement, event management, CSR and sustainability, trainings, audio-visual production, and creative design. APR operates with offices in Karachi, Lahore, and Islamabad, and has resident representatives in Multan, Quetta, and Peshawar, providing nationwide coverage.",Crisis Management Services | Press Release Services | Publishing Services | Creative and Proactive Solutions | Public Relations Agency Services | Media Services | PR and Communications Services | Digital Division Services | Relationship Excellence | Issue & Crisis Management,"Asiatic Public Relations Network (Private) Limited – APR – grew out of being a small department mainly dealing with the media within Asiatic Advertising (now JWT Pakistan) founded in 1963, into an independent PR company in 1992. As such our history goes back nearly 50 years. Since then the Company has grown steadily into becoming one of the leading communications and public relations agencies in Pakistan, affiliated internationally with Hill & Knowlton. APR is a specialized public relations firm with a blue-chip clientele and a proven capability. We believe in proactive and creative solutions, leading to Relationship Excellence between our clients and their audiences. Our head office is located in the business hub of the country, the teeming metropolis of Karachi. Other offices are in Lahore and in the federal capital city, Islamabad, enabling us to offer a countrywide coverage to our clients.",Public Relations | Communications and Public Affairs Services | Public Relations Firms,Public Relations Agencies,Marketing & Advertising Agencies,Advertising & Marketing,Private,129640,https://apr.com.pk/,apr.com.pk,com.pk,en,https://www.linkedin.com/company/asiaticpublicrelations,https://www.facebook.com/asiaticpublicrelationsnetwork/,https://twitter.com/AsiaticPR,https://www.instagram.com/asiaticpublicrelations/,https://www.youtube.com/channel/UClKgHvHIuOu4KeglEo-i-xg,541820,Public Relations Agencies,,,8743,Public Relations Services,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,7020,Management consultancy activities,PARTIAL_CONFIRMED,0.7,tld,KEEP,data_enriched.csv
1,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,2operate,original,2operate A/S.,2operate,US,United States,enrichment,North Denmark Region,9220,Niels Jernes Vej,Aalborg,final,ssg@2operate.com,final,4596356150,original,"About us 2operate deliver high-quality software, services and consultancy with a focus on the operational and power efficiency of Radio access networks. Our software products ECO-RAN and 2solve are deployed by service operators around the world. We are highly-skilled in telecommunications, we are agile and fast.",final,,missing,75,original,"2operate is a company based in Aalborg Municipality, Denmark, operating in the fields of software development and telecommunications equipment supply.",Website Configurator | Telecommunications Equipment Supplier | Radio Access Networks Consultancy | Power Saving | Server Classifier | Software Development Services | Telecommunication Products and Services | Product Optimization and Controlling | Operations Support System/network Management Platform | Performance Insights | Consultancy Services | Software Development | ECO-RAN Software Products,"2operate deliver high-quality software, services and consultancy with a focus on the operational and power efficiency of Radio access networks. Our software products ECO-RAN and 2solve are deployed by service operators around the world. We are highly-skilled in telecommunications, we are agile and fast. Our employees have decades of experience both as senior network engineers responsible for national-level rollouts and as the creators of innovative optimization and control products. ECO-RAN is a multi-vendor end to end solution that reduces RAN power consumption without reducing quality of service. ECO-RAN is a proven solution for Radio Access Networks, it is currently running in european networks and is delivering millions of euros of savings annually. Service classifier provides clear and easy-to read graphical presentations that show how geographical conditions and topograhy will impact service quality and and experienced data rates. Our services are built upon our expertise in Radio Acces Networks and contains of consultancy, products and software development.",,Cable & Internet Providers,Telecommunication Services,IT&C Services,Private,28698964,https://www.2operate.com/,2operate.com,com,en,https://www.linkedin.com/company/2operate-as,,,,,517121,Telecommunications Resellers,,,4812 | 4813,"Radiotelephone Communications (paging and cellular resellers) | Telephone Communications, Except Radiotelephone (resellers)",61.9,Other telecommunications activities,6190,Other telecommunications activities,PARTIAL_CONFIRMED,0.54,page_text_country,KEEP,data_enriched.csv
1,92d0f2d4-0581-11ec-8c14-3f55c5871ced,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,CO 2 Operate,original,CO2 Operate B.V.,CO 2 Operate,US,United States,enrichment,,,,,missing,info@co2operate.nl,final,,missing,"We are officially recognised as ""mileubarometer advisors"", a tool to make an inventory and monitor your company's greenhouse gas (GHG) emissions.",original,,missing,15,original,"CO 2 Operate, legally known as CO2 Operate B.V., is a company that collaborates with the private sector and civil organizations to develop business strategies and markets for the future. The company focuses on creating a balance between people, planet, profit, and purpose. CO2 Operate specializes in calculating corporate carbon footprints, providing tools and targets to reduce climate impact, and conducting Life Cycle Analyses (LCAs) to enhance the sustainability of products and supply chains. They also engage in carbon offset projects, including reforestation and afforestation initiatives, to achieve carbon neutrality. Additionally, CO2 Operate operates a unique food forest program in Indonesia, which combines carbon sequestration with sustainable sourcing and community development. The company is committed to corporate social responsibility and has developed its own CSR charter and roadmap aligned with the Sustainable Development Goals (SDGs).",CSR Roadmap Development | Carbon Footprint Calculation | Carbon Sequestration | Sustainable Sourcing | Social Enterprise | Life Cycle Assessment Services | Food Forest Program | Environmental Impact Assessments | Carbon Offset Projects | Climate Action Methodology Development | Afforestation and Reforestation | Greenhouse Gas Emissions Inventory and Monitoring,"Samen bouwen aan de transitie naar een duurzame en rechtvaardige wereld. Samen met de privé sector en maatschappelijke organisatie's werken we aan de bedrijfsvoering en markten van de toekomst. Dit is hoe wij samen met u naar het evenwicht zoeken tussen mens (people), milieu (planet) en economie (profit). In bijna alle gevalle zal uw bedrijfsvoering of productketen te maken krijgen met onvermijdelijke CO 2 uitstoot op het pad naar CO 2 -neutrale bedrijfsvoering of product ontwikkeling. Denk hierbij aan transport-bewegingen en gasverbruik voor verwarming. Herbebossing is de meest effectieve en kosten efficiënte manier om daadwerkelijk klimaatverandering tegen te gaan. De grootste klimaatwinst is via herbebossing op gedegradeerde gronden. Deze mengteelten imiteren een echt bos, zodat tevens de biodiversiteit kan herstellen. Zo kunnen zij een beter bestaan opbouwen. Wij zouden als sociale onderneming niet bestaan zonder gepassioneerde en betrokken klanten en partners, die allemaal op zoek zijn naar het creëren van impact voor een sociaal rechtvaardige en duurzame toekomst.",,Environmental Engineering Services,Engineering Services,Architecture & Engineering Services,Private,,https://co2operate.com/,co2operate.com,com,nl,,,https://twitter.com/co2operate,,,541620,Environmental Consulting Services,,,8999,"Services, NEC (environmental consultants)",74.9 | 74.3,"Other professional, scientific and technical activities n.e.c. | Translation and interpretation activities",7490,"Other professional, scientific and technical activities n.e.c.",insufficient_data,0.67,language,NO_ACTION,data_enriched.csv
1,06393b6c-93e5-11eb-86dd-ffbd1b53140e,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,Conzentrate,original,Conzentrate A/S.,Conzentrate | Conzentrates,DK,Denmark,validation,Capital Region Of Denmark,2730,Lyskær,Aalborg Øst,final,,missing,+45 98402700,final,Udforsk en ny dimension af læring med Conzentrates Learning Arena LMS. Skræddersyet til jeres behov og klar til at hjælpe jer med medarbejderuddannelsen.,final,2002,final_added,75,original,"Conzentrate, legally known as Conzentrate A/S., based in Aalborg, North Denmark Region, is a leading provider of Learning Management Systems (LMS) with nearly 20 years of experience. The company specializes in digital learning solutions, offering a comprehensive platform called Learning Arena that supports the setup, planning, and execution of e-learning courses. This platform includes features such as webshop integration, meeting invitations, file sharing, and news updates, catering to both internal and external training needs. Conzentrate A/S also offers custom e-learning course production services, including GDPR, IT security, personal effectiveness, SMART goals, and Microsoft Office training. The company emphasizes high expertise in digital learning, GDPR compliance, IT security, ethics, and compliance, and provides additional services such as project management, certified manuscript writing, graphic and video production, and professional speaking.",Custom Programming Services | Software Development and Implementation of Software | Internal Training | Learning Arena LMS | Educational Activities | File Sharing Platform | Webshop Connections | Project Management | Video or Graphics Production | 4MAT Certified Script Writers | Digital Learning Universe | Meeting Requiring Functionality | Software Solutions for Various Industries | Customized Training Programs | Professional Speaking | Learning Management System Provider | E-Learning Education | Software Solutions Provider,"Learning Arena LMS er et digitalt læringsunivers, der giver jer mulighed for at skræddersy og automatisere uddannelse af jeres medarbejdere. Et LMS (Learning Management System) er en digital platform, der bruges til at administrere, levere og spore træning, uddannelse og andre læringsaktiviteter. Med en læringsplatform kan du nemt oprette og tilpasse kurser, der er skræddersyet til specifikke emner og målgrupper. Vi har lavet en side, hvor du kan lære lidt om hvad et LMS er, og hvordan det måske kan hjælpe jeres virksomhed. Vores hold er specialister i digital læring, og vi kan altid skræddersy en løsning, der passer præcis til jeres behov.",E-Learning | Project Management | Learning Management Systems | Learning Consultancy | IT Project Management | Security & It,Educational Consultants,Professional Schools,Education,Private,11133856,https://conzentrate.com/,conzentrate.com,com,da,https://www.linkedin.com/company/1508857,,,,,611710,Educational Support Services,,,8299 | 8748,"Schools and Educational Services NEC (educational support services) | Business Consulting Services, NEC (educational test development and evaluation services, educational testing services, and educational consultants)",85.6,Educational support activities,8550,Educational support services,CONFIRMED,1.0,json_ld,KEEP,data_enriched.csv
1,0b470651-93e5-11eb-b4a6-27899be4e45d,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,2A Pharma ApS.,original,2A Pharma ApS. | 2A Pharma AB.,,SE,Sweden,enrichment,North Denmark Region,9220,Niels Jernes Vej,Malmö,final,info@2apharma.com,original,4572146700,original,"Together we can effectively turn research and development into a revolutionary advance in preventive vaccine production, finding solutions that saves lives, improves quality of life and ensure that everyone can profit.",original,2021,original,35,original,"2A Pharma ApS is a clinical stage biopharmaceutical company based in Aalborg Municipality, North Denmark Region. Founded in 2005 by John Nieland, the company specializes in developing novel, cost-effective prophylactic and therapeutic vaccines using its patented adeno-associated virus-like particle (Aavlp) platform. The platform utilizes virus-like particles (VLPs) that mimic the structure of viruses but do not contain viral genomic material, thereby ensuring safety and efficacy. 2A Pharma's pipeline includes projects targeting infectious diseases, immune-oncology, and autoimmune diseases, with the first clinical trial for a prophylactic HPV vaccine already underway. The company holds worldwide exclusive rights to develop this technology.",Biotechnology | Biopharmaceutical Research and Development | Autoimmune Disease Treatment | Immuno-oncology Treatments,"Previous Next 2A Pharma is a clinical stage Swedish/Danish biopharmaceutical company. Our vision is a world where revolutionary vaccine treatment within immune oncology and autoimmune diseases can deliver new cures for incurable diseases. Treatments that saves and prolongs many more lives and significantly improves patients, carers and their families' quality of life. Our mission is to develop novel, cost-effective prophylactic and therapeutic vaccines based on the AAVLP platform, to bring hope and relief to patients and their families for conditions where there currently is none. We will leverage our platform's advanced technology, versatility and capability to develop further vaccines that can tackle unmet, poorly met, niche and widespread needs, ensuring both strong social impact and Investor returns. Our patented vaccine platform can deliver safer immunogenic vaccines without virus DNA and 2A Pharma has the worldwide exclusive rights to develop this technology. We are now entering clinical stage trials and every day we get a step closer to being able to improve the health of millions of people around the world.",Autoimmune Disease | Clinical Trials & Studies | Global Public Health | Hpv Vaccination | Prevention & Vaccinations | Infectious Diseases | Business Administration | Oncology | Corporate & Finance | Public Diplomacy,Pharmaceutical Products,Pharmaceuticals,Pharmaceuticals & Cosmetics,Private,23532880,https://2apharma.com/,2apharma.com,com,en,https://www.linkedin.com/company/2a-pharma-ab,,https://twitter.com/2APharma,,,325414,Biological Product (except Diagnostic) Manufacturing,,,2836,"Biological Products, Except Diagnostic Substances",21.2 | 21.1,Manufacture of pharmaceutical preparations | Manufacture of basic pharmaceutical products,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",CONFLICT_UNCERTAIN,0.43,json_ld,REVIEW,data_enriched.csv
1,01db9ab2-06b1-11ec-984c-7f34b099c1c2,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,RenSams Solutions,original,RenSams Solutions APS. | T RenSams Solutions IVS.,RenSams Solutions,DK,Denmark,validation,North Denmark Region,9220,Niels Jernes Vej,Aalborg east,final,info@rensams.dk,final,+4591642835,final,The cornerstone of our business is based on our relationship with our customers which is build through TRUST and LOYALTY .We believe that trust is the foundation of every successful business.,final,,missing,75,original,"Rensams Solutions Aps is a company based in Aalborg, Denmark, operating within the medical supply industry. It functions as both a medical supply store and a doctor's office.",Retail | Surgical Appliance and Supplies Manufacturing | Global Healthcare Company | Medical Equipment Sales | Dental Equipment Supplier | Laboratory Equipment Supplier | Hospital Furniture Manufacturer | Doctors Office | Spare Parts Sales | Refurbished Medical Equipment | Medical Supplies Retailer | Medical Spare Parts,"T RenSams Solutions IVS,we sell and purchase new and refurbished medical equipment and spare parts. We supply the highest quality medical supply products at competitive pricing, and are there for you when you need us. The cornerstone of our business has been our relationship with our customers. We understand that you have options when it comes to medical suppliers so we will do everything possible to keep your business. We promise to provide you with the best products for the best price, and will do everything to remain your supplier of choice.",Medical Equipments | Laboratory Equipment | Global Healthcare | Dental Instruments | Dental Equipment | Medtech | Used Medical Equipment | Medical Suppliers | Medical Equipment Manufacturing | Spares & Parts,Medical Supply Manufacturers,Medical Equipment & Supplies,Other Capital Goods,Private,64390448,https://rensams.dk/,rensams.dk,dk,en,https://www.linkedin.com/company/rensams-solutions,https://www.facebook.com/pages/category/Medical-Equipment-Supplier/RenSams-Solutions-1428199453995795/,,,,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,,5047,"Medical, Dental and Hospital Equipment and Supplies (merchant wholesalers except those selling medical, dental, and hospital equipment and supplies via retail method)",46.65 | 46.63 | 46.69 | 46.66 | 46.62 | 46.64 | 46.45 | 46.47 | 46.48 | 46.49 | 46.43 | 46.44 | 46.46,"Wholesale of office furniture | Wholesale of mining, construction and civil engineering machinery | Wholesale of other machinery and equipment | Wholesale of other office machinery and equipment | Wholesale of machine tools | Wholesale of machinery for the textile industry and of sewing and knitting machines | Wholesale of perfume and cosmetics | Wholesale of furniture, carpets and lighting equipment | Wholesale of watches and jewellery | Wholesale of other household goods | Wholesale of electrical household appliances | Wholesale of china and glassware and cleaning materials | Wholesale of pharmaceutical goods",4649 | 4659,Wholesale of other household goods | Wholesale of other machinery and equipment,CONFIRMED,0.94,tld,KEEP,data_enriched.csv
